_id,date,started,completed
1,2021-02-02,9443,4421
2,2021-02-03,9457,4529
3,2021-02-04,9486,4972
4,2021-02-05,9510,5464
5,2021-02-06,9560,5986
6,2021-02-07,9572,6298
7,2021-02-08,9579,6304
8,2021-02-09,9642,6957
9,2021-02-10,9759,7389
10,2021-02-11,9939,7773
11,2021-02-12,10074,8244
12,2021-02-13,10789,8572
13,2021-02-14,11479,8576
14,2021-02-15,12029,8580
15,2021-02-16,12828,8666
16,2021-02-17,13603,8687
17,2021-02-18,14604,8717
18,2021-02-19,15495,8783
19,2021-02-20,16534,8823
20,2021-02-21,17377,8824
21,2021-02-22,18195,8857
22,2021-02-23,18918,8885
23,2021-02-24,20000,8912
24,2021-02-25,20892,8950
25,2021-02-26,21389,8990
26,2021-02-27,23368,9031
27,2021-02-28,23852,9032
28,2021-03-01,24240,9032
29,2021-03-02,25036,9114
30,2021-03-03,26273,9184
31,2021-03-04,27272,9268
32,2021-03-05,27983,9370
33,2021-03-06,28530,9672
34,2021-03-07,28578,9968
35,2021-03-08,28603,10268
36,2021-03-09,29468,10756
37,2021-03-10,30572,11173
38,2021-03-11,31550,11681
39,2021-03-12,31835,12164
40,2021-03-13,31955,12414
41,2021-03-14,31969,12676
42,2021-03-15,31971,12841
43,2021-03-16,32047,13672
44,2021-03-17,32363,14337
45,2021-03-18,32823,15024
46,2021-03-19,33362,15302
47,2021-03-20,33869,15857
48,2021-03-21,34052,15864
49,2021-03-22,34391,15866
50,2021-03-23,35162,16373
51,2021-03-24,35592,17014
52,2021-03-25,35825,17697
53,2021-03-26,35970,18092
54,2021-03-27,36153,18484
55,2021-03-28,36452,18549
56,2021-03-29,36650,18595
57,2021-03-30,37735,18989
58,2021-03-31,39184,19402
59,2021-04-01,40309,19974
60,2021-04-02,40430,20007
61,2021-04-03,40600,20039
62,2021-04-04,40760,20043
63,2021-04-05,40971,20046
64,2021-04-06,41174,20053
65,2021-04-07,42749,20327
66,2021-04-08,44078,20711
67,2021-04-09,45538,21007
68,2021-04-10,45719,21367
69,2021-04-11,45732,21541
70,2021-04-12,45783,21845
71,2021-04-13,51277,22543
72,2021-04-14,51860,23240
73,2021-04-15,52335,23706
74,2021-04-16,53055,23950
75,2021-04-17,53909,24279
76,2021-04-18,54067,24282
77,2021-04-19,54090,24288
78,2021-04-20,54453,25361
79,2021-04-21,55904,26630
80,2021-04-22,56526,27919
81,2021-04-23,58310,28161
82,2021-04-24,59714,28605
83,2021-04-25,,
84,2021-04-26,59762,28626
85,2021-04-27,61683,28724
86,2021-04-28,63329,29846
87,2021-04-29,65284,31631
88,2021-04-30,66678,32518
89,2021-05-01,66869,32538
90,2021-05-02,66870,32544
91,2021-05-03,66873,32548
92,2021-05-04,67477,34639
93,2021-05-05,68180,36730
94,2021-05-06,68180,36730
95,2021-05-07,70569,40351
96,2021-05-08,71799,41905
97,2021-05-09,72748,41949
98,2021-05-10,72485,41958
99,2021-05-11,75318,43089
100,2021-05-12,77670,44740
101,2021-05-13,79679,46439
102,2021-05-14,79702,46625
103,2021-05-15,80643,50055
104,2021-05-16,80671,50084
